"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1",0.00208859376005625,-1.55380470231888,0.018219287673412,0.0291353834232382,100,"Simulation 3",1,100,0.495467,0.215103025376824,0.4906,0.4935375,0.25307982,0.0699,0.9008,0.8309,0.0772951269556674,-0.809057109310418,0.0215103025376824
"X11",0.0101905594312071,-1.52004908399727,0.0164530289023648,0.0251015094458777,100,"Simulation 3",1,100,0.543447,0.214744168888743,0.5568,0.54061375,0.25137483,0.1265,0.975,0.8485,0.0670524045460584,-0.907562591457485,0.0214744168888743
"X12",-0.0246208438137542,-1.50942594357791,0.0241310963214244,0.0373085278541162,100,"Simulation 3",1,100,0.493229,0.224234545449017,0.52095,0.4939,0.26857299,0.0754,0.9109,0.8355,-0.0867432049636438,-1.0585118816851,0.0224234545449017
"X13",0.00984356199916862,-1.47837175977715,0.0144539795610781,0.0224686977942961,99,"Simulation 3",1,99,0.481263636363636,0.215717065949229,0.4903,0.482608641975309,0.26434758,0.0163,0.9203,0.904,-0.0400824519011707,-0.851952786838506,0.021680380867574
"X14",-0.0110173517863575,-1.51285997551623,0.0182032371906135,0.0261364071062785,99,"Simulation 3",1,99,0.436477777777778,0.22414377517592,0.4083,0.423707407407407,0.24566682,0.0725,0.9565,0.884,0.465364213053195,-0.570735843295383,0.0225272970106759
"X15",0.00654660908905962,-1.54475015538227,0.0199061414600967,0.0301811577554041,100,"Simulation 3",1,100,0.492511,0.220344156381591,0.47755,0.491225,0.24062598,0.0471,0.969,0.9219,0.11639932011662,-0.740020302180306,0.0220344156381591
"X16",-0.0127717359644946,-1.50788477961678,0.0177710355893448,0.0251236384308472,100,"Simulation 3",1,100,0.495669,0.232190110498125,0.4969,0.49327875,0.24040359,0.0283,0.9501,0.9218,0.0803374222351948,-0.80361485192111,0.0232190110498125
"X17",0.0272657133998318,-1.54695840222922,0.0187454165500096,0.0290057801335117,100,"Simulation 3",1,100,0.508068,0.214722464929626,0.50995,0.506965,0.2290617,0.0368,0.9625,0.9257,0.0271738905440587,-0.612545226498073,0.0214722464929626
"X18",0.00232470254940769,-1.54409819277206,0.0173277679570545,0.0272010624749767,100,"Simulation 3",1,100,0.452072,0.215273027055825,0.42615,0.44112875,0.23084082,0.068,0.9314,0.8634,0.376136162520985,-0.759537531757638,0.0215273027055825
"X19",0.0355850663019288,-1.61709326517393,0.022308568488475,0.0345945317836303,99,"Simulation 3",1,99,0.499361616161616,0.218639638146403,0.4927,0.496196296296296,0.25307982,0.0314,0.9353,0.9039,0.134958071143431,-0.840502827824283,0.0219741104251725
"X110",-0.00204193864149679,-1.59448959986596,0.0211509637449373,0.0360785525820832,99,"Simulation 3",1,99,0.486993939393939,0.202353871597875,0.4998,0.486456790123457,0.20786052,0.0435,0.9357,0.8922,-0.0830210130097987,-0.749664699095982,0.0203373293019972
"X111",0.0273695563498253,-1.55748643436366,0.018886543498326,0.0317977364815335,100,"Simulation 3",1,100,0.49699,0.199891145376677,0.504,0.5036275,0.23343537,0.0431,0.9848,0.9417,-0.221750450049376,-0.596345520533094,0.0199891145376677
"X112",-0.000132774987116902,-1.51645422223127,0.0181946720525749,0.0278413255851064,100,"Simulation 3",1,100,0.565437,0.214089095328052,0.55035,0.5701,0.24485139,0.1082,0.9603,0.8521,-0.117925672814144,-0.990175818806131,0.0214089095328052
"X113",-0.0324207656677335,-1.50991407372526,0.0203574111066514,0.0369042558619691,100,"Simulation 3",1,100,0.520786,0.185903210409084,0.5311,0.5275,0.19140366,0.0389,0.9805,0.9416,-0.235428735771964,-0.30111942817009,0.0185903210409084
"X114",0.00635506298222789,-1.48289748832563,0.0158196478736409,0.0243065654902456,100,"Simulation 3",1,100,0.483062,0.220512037638389,0.4864,0.47923625,0.23150799,0.0505,0.9256,0.8751,0.139038036260146,-0.804418957309385,0.0220512037638389
"X115",7.71759861373344e-05,-1.54269885869215,0.0120778059827412,0.0201956716236974,100,"Simulation 3",1,100,0.486302,0.200485745471776,0.4861,0.49298875,0.20496945,0.0253,0.9275,0.9022,-0.221294880169364,-0.584835252003104,0.0200485745471776
