"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1",-0.0138631275307622,-1.55797847828377,0.0379713616484563,0.0516072006569703,100,"Simulation 2",1,100,0.526565,0.250680172256655,0.5343,0.53029875,0.35856681,0.076,0.9412,0.8652,-0.118808102877103,-1.30298131249399,0.0250680172256655
"X11",0.00749040104905205,-1.53898739668434,0.0231178633039372,0.0299420718964256,100,"Simulation 2",1,100,0.496782,0.261406581950166,0.48665,0.49576625,0.35263641,0.07,0.9311,0.8611,0.0939057526040971,-1.36832120021868,0.0261406581950166
"X12",0.0361365059891212,-1.53122472266391,0.0281272609716435,0.0385930624796794,100,"Simulation 2",1,100,0.460234,0.243824679197694,0.46825,0.45024,0.31942617,0.0635,0.9355,0.872,0.206969051325949,-1.14372382262005,0.0243824679197694
"X13",0.0250942786580414,-1.58976692289159,0.0240776870674702,0.0392040709989991,100,"Simulation 2",1,100,0.532592,0.214136868663974,0.53805,0.53383125,0.27050037,0.0991,0.909,0.8099,-0.0564005189503191,-1.10242818765437,0.0214136868663974
"X14",0.0197395309573374,-1.53134606058839,0.0232721459612904,0.0315574833523753,100,"Simulation 2",1,100,0.511279,0.251644025991422,0.5122,0.514355,0.33343674,0.0793,0.9036,0.8243,-0.0353542353144458,-1.28701513614708,0.0251644025991422
"X15",-0.014026304883315,-1.50944064176427,0.0358240154057392,0.0482731719923453,100,"Simulation 2",1,100,0.462662,0.247949714998176,0.43055,0.4580325,0.31935204,0.0691,0.9026,0.8335,0.145626314787787,-1.1866773229814,0.0247949714998176
"X16",0.0469411893938693,-1.51227514897938,0.0293295724006308,0.0378895403151267,100,"Simulation 2",1,100,0.476729,0.263111387594338,0.43525,0.47084375,0.35293293,0.0685,0.9238,0.8553,0.164782368385109,-1.41331193216935,0.0263111387594338
"X17",-0.0231547784707386,-1.61678370135611,0.0266834584338286,0.037610272020339,100,"Simulation 2",1,100,0.496835,0.246878711223863,0.5299,0.4947775,0.32661678,0.1069,0.9249,0.818,0.0282740282012426,-1.37268955975635,0.0246878711223863
"X18",0.0157681582315833,-1.61724733556748,0.0240796532778446,0.0338704746475411,100,"Simulation 2",1,100,0.470615,0.24532982885137,0.4391,0.46587375,0.30207975,0.0679,0.9167,0.8488,0.167427942421008,-1.33935865453489,0.024532982885137
"X19",-0.003360996752825,-1.51079085173167,0.0215618235850656,0.0277336749952482,100,"Simulation 2",1,100,0.493131,0.261854982495227,0.4992,0.49579,0.35589813,0.0626,0.9476,0.885,-0.0155767875783641,-1.37963621178828,0.0261854982495227
"X110",0.0208425148393094,-1.51391855020959,0.0259960441848402,0.0343243226230808,100,"Simulation 2",1,100,0.469247,0.25516900616666,0.4498,0.46499875,0.32869242,0.0669,0.8982,0.8313,0.134584688825822,-1.26818002171517,0.025516900616666
"X111",-0.0145298987546516,-1.47963432943747,0.0229534648010081,0.0298385058799047,100,"Simulation 2",1,100,0.514342,0.259812912556927,0.52565,0.517015,0.32609787,0.0936,0.9382,0.8446,-0.121077966197255,-1.30553787831099,0.0259812912556927
"X112",0.0273306538233877,-1.46510457163573,0.0219281550748162,0.0291770039045039,100,"Simulation 2",1,100,0.529882,0.25328472874246,0.54495,0.53374875,0.33306609,0.0809,0.9261,0.8452,-0.0891981297782167,-1.28565274791021,0.025328472874246
"X113",0.0114563958973201,-1.49306608452281,0.0206170497902384,0.0285781619097319,100,"Simulation 2",1,100,0.523992,0.241295622233581,0.50935,0.52679375,0.26723865,0.0851,0.9471,0.862,-0.01378220518525,-1.04108554766164,0.0241295622233581
"X114",-0.00790314406829498,-1.49087651393977,0.0198630813206296,0.0269340977639235,100,"Simulation 2",1,100,0.493402,0.249241529841998,0.51085,0.49491375,0.30652755,0.0759,0.915,0.8391,-0.0879339270967681,-1.20749168346861,0.0249241529841998
"X115",0.0335251814916609,-1.49867734245427,0.0247908538456434,0.0360160230645331,100,"Simulation 2",1,100,0.499428,0.235955893019236,0.50555,0.49792625,0.27924771,0.07,0.9192,0.8492,0.0840261209082227,-1.11246563047192,0.0235955893019236
"X116",0.0188700280361054,-1.49736543366503,0.0241176874648859,0.0325652978331971,100,"Simulation 2",1,100,0.499885,0.250545204040462,0.50835,0.49692875,0.33425217,0.0822,0.93,0.8478,0.0181721230840741,-1.23610153660332,0.0250545204040462
"X117",0.044965382770839,-1.49270047070966,0.0215649827240545,0.0297940863663848,100,"Simulation 2",1,100,0.451756,0.243587379762988,0.46615,0.4417975,0.32639439,0.0813,0.9285,0.8472,0.218429277011505,-1.19643312398415,0.0243587379762988
"X118",-0.00237381270986829,-1.53769498537773,0.0208690714178758,0.0287905073532301,100,"Simulation 2",1,100,0.46775,0.249314863397895,0.42535,0.46024875,0.31853661,0.0949,0.9372,0.8423,0.245170011553465,-1.33719841122536,0.0249314863397895
"X119",0.0493603938249371,-1.45793560540281,0.0220347363688497,0.0294601617517486,100,"Simulation 2",1,100,0.441225,0.246957331764257,0.40375,0.42638,0.28354725,0.0645,0.9409,0.8764,0.408430008854032,-1.03427557028823,0.0246957331764257
"X120",-0.033156122721951,-1.56887555485338,0.0200778782304732,0.0284012027233072,100,"Simulation 2",1,100,0.499732,0.243099977304928,0.5493,0.502065,0.30215388,0.0748,0.9196,0.8448,-0.11462414552225,-1.2507631205576,0.0243099977304928
