"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1",-20.7452565198234,35.8175661309062,21.7433318697805,22.4408959096372,100,"Simulation 2",1,100,0.491525,0.288324854447061,0.4948,0.49029125,0.36279222,0.0092,0.9887,0.9795,0.0158386901494512,-1.22391989103554,0.0288324854447061
"X11",1.94900851975171,-5.48333175161701,2.03529509463259,2.08951852353011,100,"Simulation 2",1,100,0.491999,0.288996714005645,0.4889,0.4903175,0.36746241,0.0083,0.9909,0.9826,0.0413740601220607,-1.22921582367911,0.0288996714005645
"X12",-0.699612170477806,-0.696595300354689,0.715713955603324,0.733192089658159,100,"Simulation 2",1,100,0.500549,0.290746976844892,0.50365,0.50090625,0.37443063,0.0107,0.9914,0.9807,-0.0196188800886061,-1.25776919054345,0.0290746976844892
"X13",1.07782049385399,-3.81171046720172,1.09593725885858,1.12297678984115,100,"Simulation 2",1,100,0.497012,0.290284620093153,0.4954,0.49611375,0.3728739,0.0102,0.9907,0.9805,0.0158738075911644,-1.24554785108865,0.0290284620093153
"X14",2.00077240635534,-5.54343904105145,2.01015015578722,2.095322326913,100,"Simulation 2",1,100,0.496896,0.287784200828441,0.5007,0.49696,0.36664698,0.0106,0.9887,0.9781,-0.00256606155447447,-1.24055727417189,0.0287784200828441
"X15",1.46991223802894,-4.67083208157524,1.53579019576808,1.5967717095455,100,"Simulation 2",1,100,0.49261,0.288471975250717,0.4887,0.49115125,0.36783306,0.0105,0.9881,0.9776,0.0330970554069768,-1.24616933254577,0.0288471975250717
"X16",0.984825307534647,-3.62611094449263,1.00336512507812,1.02796456093465,100,"Simulation 2",1,100,0.495889,0.291088742723596,0.49765,0.4956125,0.37791474,0.0095,0.9905,0.981,0.00262569671311907,-1.26589424220284,0.0291088742723596
"X17",-2.46348865605684,2.39379791397217,2.50029650557667,2.56779512658537,100,"Simulation 2",1,100,0.49561,0.28907130101535,0.4925,0.4949075,0.36931566,0.0098,0.9933,0.9835,0.0161790012707829,-1.24121019819012,0.028907130101535
"X18",-41.6162675765667,73.0080859810312,42.0902747047768,43.7396476218234,100,"Simulation 2",1,100,0.496128,0.288055172212519,0.4943,0.4954625,0.36523851,0.0122,0.9895,0.9773,0.0112940283960158,-1.23184855085483,0.0288055172212519
"X19",4.19278467457238,-9.36701458475052,4.24764913500013,4.38201074436895,100,"Simulation 2",1,100,0.496086,0.289460476540041,0.4962,0.49571625,0.37065,0.01,0.9899,0.9799,0.00619822141515344,-1.24436528371666,0.0289460476540041
"X110",0.051713768982522,-2.59776430166938,0.0385789096639121,0.0660959197802108,100,"Simulation 3",1,100,0.510105,0.197338974824662,0.52505,0.50884375,0.21631134,0.1116,0.9831,0.8715,0.0236544656230633,-0.617143120094936,0.0197338974824662
"X111",0.128793407375122,-2.20715669574474,0.0443829807109924,0.0755251684914364,100,"Simulation 3",1,100,0.528103,0.184178480331367,0.5375,0.524615,0.18554739,0.1185,0.9934,0.8749,0.150107119060133,-0.295886368275427,0.0184178480331367
