"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1",-0.0803240467542359,-2.52970515104482,0.0321411248740634,0.0510610906324589,100,"Simulation 3",1,100,0.492065,0.213101738577724,0.46935,0.495155,0.25174548,0.0462,0.9139,0.8677,-0.0789759647976438,-0.79808114497283,0.0213101738577724
"X11",0.020171955128538,-2.54594305165467,0.0645026602684422,0.119397971797891,100,"Simulation 3",1,100,0.530325,0.168868845393235,0.52435,0.53099125,0.14759283,0.0184,0.9812,0.9628,-0.186696620362422,0.869626641828483,0.0168868845393235
"X12",-0.12498051501143,-2.65647396820403,0.0425297455795495,0.078633739478969,100,"Simulation 3",1,100,0.471089,0.183008485697723,0.47795,0.4694175,0.20178186,0.018,0.8721,0.8541,0.0319317258157986,-0.408420246472714,0.0183008485697723
"X13",0.0572523280338009,-2.45837575472962,0.0467776299544285,0.0779669180311748,100,"Simulation 3",1,100,0.513582,0.197114062953766,0.5237,0.51845375,0.20845356,0.0154,0.9519,0.9365,-0.190165568392412,-0.32566177540994,0.0197114062953766
"X14",-0.0185524958323201,-2.51105813546109,0.0355540771920995,0.0609581622319378,100,"Simulation 3",1,100,0.494266,0.19735502093149,0.48905,0.49997875,0.2060814,0.0133,0.879,0.8657,-0.173638726685896,-0.645789033261614,0.019735502093149
"X15",-0.0153589123027691,-2.37678686909389,0.0378038744599444,0.0608512788121538,100,"Simulation 3",1,100,0.513364,0.206767941715374,0.5188,0.51573875,0.23195277,0.0083,0.9082,0.8999,-0.113121235793723,-0.664596009515172,0.0206767941715374
"X16",-0.0150354808299952,-2.58480297508064,0.0465851097375048,0.0841379357171869,100,"Simulation 3",1,100,0.486523,0.183400735188485,0.47965,0.48373375,0.17487267,0.0166,0.8892,0.8726,0.0701784953226281,-0.21724236979632,0.0183400735188485
"X17",-0.00798579901041004,-2.36944513050334,0.0461514490981347,0.0774575847583416,100,"Simulation 3",1,100,0.49308,0.189469466637447,0.503,0.502195,0.19288626,0.0033,0.9462,0.9429,-0.323747164737331,-0.14876297158464,0.0189469466637447
"X18",0.104314324001468,-2.2664417326423,0.0542680644421023,0.0741795614626515,100,"Simulation 3",1,100,0.504703,0.220924399270269,0.5014,0.5068925,0.22157457,0.0189,0.9925,0.9736,-0.0858321952714446,-0.436680740171505,0.0220924399270269
"X19",0.0629663355837282,-2.55260278467538,0.0411460658412606,0.0692245734343115,100,"Simulation 3",1,100,0.499527,0.200450026445546,0.461,0.49461,0.22305717,0.0304,0.9651,0.9347,0.213540576176571,-0.578195906263987,0.0200450026445546
"X110",0.00834788864346239,-2.45650024370544,0.0399727491109169,0.0626101353456335,100,"Simulation 3",1,100,0.516699,0.210929396725611,0.5294,0.50969375,0.25300569,0.0814,0.9849,0.9035,0.194918680958263,-0.759532123624538,0.0210929396725611
"X111",-0.00499261356485889,-2.43086114031927,0.0499511008606307,0.0858632985623957,100,"Simulation 3",1,100,0.476455,0.187793262846959,0.4622,0.47179,0.17131443,0.0593,0.9816,0.9223,0.306453271528402,0.128154090138156,0.0187793262846959
"X112",0.0759778259601499,-2.62726600121559,0.0233151356523228,0.0412693888097121,100,"Simulation 3",1,100,0.520252,0.200753280652968,0.53585,0.52537875,0.23484384,0.112,0.9416,0.8296,-0.165749716473049,-0.97359183358803,0.0200753280652968
"X113",0.0384163348652182,-2.7140106978098,0.0317272324882753,0.0595838383779359,100,"Simulation 3",1,100,0.518746,0.187300546262693,0.5363,0.527025,0.192738,0.0386,0.8588,0.8202,-0.321852790467148,-0.584104299687621,0.0187300546262693
"X114",-0.0234734377943595,-2.40491116115467,0.0345359633243868,0.0508107018953166,100,"Simulation 3",1,100,0.494536,0.223336201935444,0.4914,0.49129125,0.20126295,0.0646,0.9651,0.9005,0.0830153066937747,-0.617011375289336,0.0223336201935444
"X115",0.0422792593805246,-2.51659189246818,0.0234902210524808,0.0397236076465654,100,"Simulation 3",1,100,0.510907,0.20649273338402,0.5179,0.51191125,0.23284233,0.0683,0.9428,0.8745,-0.0798263468995942,-0.899230676459477,0.020649273338402
"X116",-0.023422717741463,-2.49988217029017,0.0248749769982129,0.0400226299554972,100,"Simulation 3",1,100,0.483889,0.215218181470232,0.46955,0.48289625,0.28176813,0.0422,0.9184,0.8762,0.0577428823036252,-0.997681288499837,0.0215218181470232
"X117",0.0886241063198699,-2.31855779603651,0.0414824979412975,0.0632284126407675,100,"Simulation 3",1,100,0.525436,0.209884060116315,0.54675,0.52681125,0.23113734,0.053,0.9983,0.9453,-0.113485201715885,-0.745499460289334,0.0209884060116315
"X118",0.0813212823255412,-2.82639932525375,0.0375697525165425,0.0731481638251201,100,"Simulation 3",1,100,0.501294,0.180130819925044,0.49665,0.49792375,0.20333859,0.0823,0.9752,0.8929,0.148505652284258,-0.600285890935139,0.0180130819925044
"X119",-0.0292663381394916,-2.60118862689504,0.0391039521380965,0.0713901545177732,100,"Simulation 3",1,100,0.488733,0.186738996297998,0.4857,0.48898875,0.19933557,0.0601,0.922,0.8619,-0.0221339753363214,-0.244071387095549,0.0186738996297998
"X120",0.0758664320682187,-2.31195680760442,0.0497691740304313,0.078497870062877,100,"Simulation 3",1,100,0.515687,0.202619560741182,0.5279,0.51622875,0.16516164,0.0396,0.9866,0.947,-0.0609486531444769,-0.210614074480267,0.0202619560741182
"X121",-0.0716938679742555,-2.37626313316686,0.0464828869213113,0.0727431905731036,100,"Simulation 3",1,100,0.490904,0.20981153732805,0.51545,0.49888125,0.22720845,0.0194,0.921,0.9016,-0.239890404113673,-0.665769321555336,0.020981153732805
"X122",0.0577553778871753,-2.47801842001138,0.0426298174111187,0.0745740087408726,100,"Simulation 3",1,100,0.504739,0.189982787043267,0.5203,0.50405875,0.1786533,0.0091,0.9394,0.9303,0.0402255356352433,-0.360696119732127,0.0189982787043267
"X123",-0.0469898907766389,-2.44327969831616,0.0474028557372163,0.0822822422863751,100,"Simulation 3",1,100,0.468786,0.184087722841612,0.48725,0.47587375,0.19073649,0.0095,0.9693,0.9598,-0.232750506983174,-0.304050603516636,0.0184087722841612
"X124",0.0551848920494499,-2.23365473863141,0.0431137624216041,0.0599607665713864,100,"Simulation 3",1,100,0.506725,0.224074184764282,0.5003,0.5035125,0.21297549,0.0236,0.9879,0.9643,0.120556090989896,-0.573512791940094,0.0224074184764282
"X125",0.0706628392105831,-2.52476667121548,0.041660020588251,0.0793216300685997,100,"Simulation 3",1,100,0.495406,0.179140639868583,0.4825,0.4937825,0.18643695,0.0518,0.9664,0.9146,0.100178170125732,-0.125475828823202,0.0179140639868583
"X126",-0.0257473052829012,-2.17894209400944,0.0406224920860747,0.0567381292708174,100,"Simulation 3",1,100,0.480059,0.225797080214367,0.4751,0.4812825,0.24336879,0.0151,0.9851,0.97,0.0542596339679378,-0.6818698889608,0.0225797080214367
"X127",-0.0110323881636703,-2.46686101001416,0.0533987745114583,0.0926232342104612,100,"Simulation 3",1,100,0.491387,0.184665010743588,0.4658,0.488065,0.18888324,0.0294,0.9881,0.9587,0.254618011718371,0.0867820309992799,0.0184665010743588
"X128",-0.0156592388348851,-2.48984655685429,0.0396645849443638,0.0674825561921629,100,"Simulation 3",1,100,0.499273,0.195960577284042,0.49455,0.49403125,0.20104056,0.0669,0.9809,0.914,0.203449408201448,-0.419781346905843,0.0195960577284042
"X129",-0.14511578737547,-2.94722693927966,0.0263706462372687,0.0503935776690201,100,"Simulation 3",1,100,0.460734,0.184309921369284,0.46145,0.45858875,0.20452467,0.1229,0.899,0.7761,0.126810896441678,-0.77696533496004,0.0184309921369284
"X130",0.0276009268909813,-2.38756708478805,0.0488483077840143,0.0738113392214374,100,"Simulation 3",1,100,0.52098,0.209071418854463,0.51575,0.51847,0.2335095,0.0198,0.9866,0.9668,0.0738741033179207,-0.579367516876848,0.0209071418854463
"X131",0.0498198917979901,-2.23946302480481,0.0498531470045501,0.0732784127069098,100,"Simulation 3",1,100,0.494579,0.209700386215161,0.49965,0.491405,0.19755645,0.0669,0.9983,0.9314,0.139636342923811,-0.389558314247066,0.0209700386215161
"X132",-0.0409244031059303,-2.10559045621625,0.0589992150389222,0.0819299533807528,100,"Simulation 3",1,100,0.518645,0.207260866403729,0.5236,0.5201225,0.1801359,9e-04,0.9719,0.971,-0.157925196092871,-0.0347745520015907,0.0207260866403729
"X133",0.0803952542689796,-2.65445479435009,0.0418438995979919,0.078253464356828,100,"Simulation 3",1,100,0.515898,0.182108130260762,0.4993,0.5146525,0.19147779,0.0372,0.9428,0.9056,0.019615652183567,-0.239947563652715,0.0182108130260762
"X134",-0.0737447061278252,-2.43629654911504,0.0442589950296782,0.074152693011013,100,"Simulation 3",1,100,0.49092,0.195913161034849,0.48415,0.4889675,0.19681515,0.0066,0.9392,0.9326,0.0115286349538062,-0.424078860904581,0.0195913161034849
"X135",0.0795383409349856,-2.64564353633585,0.0358940204889939,0.0601088450972101,100,"Simulation 3",1,100,0.537077,0.204508688835196,0.55045,0.54633875,0.24507378,0.0413,0.9195,0.8782,-0.324202472703967,-0.68574998296266,0.0204508688835196
"X136",-0.0204292187979809,-2.70045532190822,0.0556881395552819,0.103005081468126,100,"Simulation 3",1,100,0.477639,0.178649468809903,0.4666,0.4681125,0.170499,0.1128,0.9835,0.8707,0.487460290439764,0.157649762299406,0.0178649468809903
"X137",0.00079581574564882,-2.32010366411608,0.0379083247579118,0.0601428522084769,100,"Simulation 3",1,100,0.512715,0.208591369111181,0.49875,0.507695,0.19459125,0.0548,0.9623,0.9075,0.205752967800801,-0.495805831555841,0.0208591369111181
"X138",0.0807790024205004,-2.78589449073127,0.0380252519584971,0.0697200855907564,100,"Simulation 3",1,100,0.502372,0.188974713759286,0.49065,0.5021825,0.17731896,0.0754,0.9271,0.8517,-0.0103243334547111,-0.32660206842766,0.0188974713759286
"X139",-0.0732935266994905,-2.15560576270181,0.0390460110867144,0.0584126036428491,100,"Simulation 3",1,100,0.491233,0.212005849002123,0.47915,0.48318625,0.18925389,0.0137,0.9893,0.9756,0.328098729957977,-0.331830543941972,0.0212005849002123
"X140",-0.084205709548689,-2.40191258431577,0.0531916194849795,0.0969981696533151,100,"Simulation 3",1,100,0.496843,0.172718588341226,0.53165,0.5023575,0.17576223,0.0049,0.9393,0.9344,-0.283847541664474,0.127477262849597,0.0172718588341226
"X141",-0.0737906438038359,-2.15881620550486,0.0648007050102643,0.0952446378988532,100,"Simulation 3",1,100,0.455737,0.190885912648039,0.44945,0.44879875,0.18258219,8e-04,0.9987,0.9979,0.308156302230511,0.107245248255937,0.0190885912648039
"X142",0.0687980374816557,-2.47599670659485,0.0489443029699952,0.0770958134246309,100,"Simulation 3",1,100,0.515825,0.203258115931244,0.5335,0.51901125,0.23328711,0.0396,0.9977,0.9581,-0.117057244840096,-0.656224148004952,0.0203258115931244
"X143",0.034059422036594,-2.23409347693481,0.0497182756238537,0.0727793628054643,100,"Simulation 3",1,100,0.519792,0.211985131306301,0.531,0.5205325,0.20563662,0.0246,0.9963,0.9717,0.00939995623455514,-0.556244362286025,0.0211985131306301
"X144",0.0734686002995596,-2.28410083144086,0.0432850305660942,0.066503579989305,100,"Simulation 3",1,100,0.512361,0.205788791841234,0.51185,0.51224875,0.19073649,0.0195,0.994,0.9745,0.00430730198434745,-0.376873809859043,0.0205788791841234
"X145",-0.0424388266254922,-2.24789450108586,0.0443181592180132,0.0671419671765502,100,"Simulation 3",1,100,0.488768,0.212194168695284,0.50235,0.49186625,0.18932802,0.0327,0.9736,0.9409,-0.0917177675245608,-0.354933990598773,0.0212194168695284
"X146",-0.00825692680519912,-2.21370034381857,0.0524729087907087,0.0808000239917188,100,"Simulation 3",1,100,0.523063,0.201356315492931,0.52835,0.52906375,0.16738554,0.0111,0.9553,0.9442,-0.258651570575595,0.0635251313717746,0.0201356315492931
"X147",0.0298842181212653,-2.36493700842696,0.0416422202431259,0.0661435488927427,100,"Simulation 3",1,100,0.505232,0.208585763133101,0.5395,0.51142125,0.20407989,0.0205,0.9517,0.9312,-0.307670924490929,-0.557382292203142,0.0208585763133101
"X148",0.0717776540279049,-2.69630787402675,0.0296981120154674,0.0560827105076328,100,"Simulation 3",1,100,0.523901,0.185290176736247,0.5229,0.525975,0.18576978,0.1248,0.9496,0.8248,-0.0945962754195072,-0.520696225259536,0.0185290176736247
"X149",-0.0685941666287381,-2.31443768808038,0.0447808307905398,0.0628422363521211,100,"Simulation 3",1,100,0.518908,0.225002437104646,0.5035,0.5240375,0.21675612,0.0128,0.93,0.9172,-0.13172352349835,-0.53999544745701,0.0225002437104646
"X150",0.0796672825440471,-2.64891008405448,0.0403450815417425,0.0730431348654958,100,"Simulation 3",1,100,0.520273,0.188416901735476,0.51005,0.5213775,0.19666689,0.0704,0.9459,0.8755,-0.0592578613488341,-0.317266245701167,0.0188416901735476
"X151",0.00163056960939612,-2.20043320401207,0.0612366807060742,0.0915349605876351,100,"Simulation 3",1,100,0.465879,0.19698600180744,0.4533,0.460415,0.18569565,0.0052,0.9963,0.9911,0.233508002508271,0.028614970499651,0.019698600180744
"X152",-0.0156296825639655,-2.40217854052926,0.0406246542480324,0.0696606592087938,100,"Simulation 3",1,100,0.482756,0.192885856402174,0.47,0.482035,0.20548836,0.0339,0.9266,0.8927,-0.00564103221507061,-0.233410884523133,0.0192885856402174
"X153",0.0440056320269449,-2.2687017965864,0.0442971001145662,0.0616253895357001,100,"Simulation 3",1,100,0.512364,0.22839794994569,0.51185,0.50748125,0.25789827,0.0418,0.992,0.9502,0.140460462807706,-0.804883588839882,0.022839794994569
"X154",0.0555346324872537,-2.29970817050496,0.0452621467379888,0.0751515576055585,100,"Simulation 3",1,100,0.513502,0.192805834701519,0.50535,0.5081825,0.18599217,0.067,0.9888,0.9218,0.219774404533684,-0.142633187916867,0.0192805834701519
"X155",0.0185422128013987,-2.08417423328366,0.0590565578945065,0.0810192527294038,100,"Simulation 3",1,100,0.503638,0.206732832409271,0.5079,0.49972,0.19488777,6e-04,0.9887,0.9881,0.133471230744831,-0.0520215407617224,0.0206732832409271
