"","X1","X2"
"1",1,"1111110111111101011111011111111111111101111111111111110111111011110111111111111111111111111111111111"
"2",2,"1111000110011001101111111111110000110100000010001011101111111110110101001001011011111111100000011111"
"3",3,"0000000000000000000010011000000000000000000000000000000000001000000000000000000000010000000000000000"
"4",4,"1111010110111101111111111101001011111101011010111110111111111011111111110111111101111101111110111011"
"5",5,"1011100010111101111111111111101111111001101011111011110111011000111100001111110111101101111100011111"
"6",6,"0000000110010101001111110010000010100000000000100000000100000010101000001000000011110001000001000001"
"7",7,"0000000000010000011010010100000000000000100000101100000100000000000100010001000001010000000000000000"
"8",8,"1111011111111101111111111111111111111111111111111111101111011011111111101111111111111111111011111111"
"9",9,"0001000110111111111011011001100010010101010010011010111100101010101101111000010101001111011111011000"
"10",10,"1011010111011111011111111001100011110100001011101111110111011111110111000011001001111111110111000101"
"11",11,"1011100010111111011111111101000000001100110110011110000100101001100101000101010000011101100001010000"
"12",12,"1001100110011101011011011001100100100100001010101001001010000101111001100100000001001001000001000000"
"13",13,"1011001100011001011011011111001000101101001111111101100111000001100000001001000001010001000101001001"
"14",14,"1111111111111111111111111111011011111111111111111111111111111111011111111111111111111111111011111111"
"15",15,"0101000011011111010101010101100001010000000010001111111100001011100101110000000101110100100010101000"
"16",16,"1111101110111101011111011111111110011101111101111111110111111111110111111100101101111111101001010010"
"17",17,"0111101110011101011111111011111010111000111110111111011110111111100111011111000101111111101011011111"
"18",18,"0011000100110101101011110101000010100100011101101111100110010010111111001001010001010110100101000001"
"19",19,"1111110010111111011111111011111010101100111110111110110110111010111110101110111101011111111010111101"
"20",20,"1111000111111101111111110111111111011001001111111011111111011111111111111101011111111111111101111011"
"21",21,"0000000100000000000011010010000000000000100000001010000100101000000000000001000000001100000000000000"
"22",22,"0011101110111111111111111111000111111100010001111111111101111011101011101100110111011111101101011000"
"23",23,"1010000010110101111011011001010010100000010000111000011110001010000101011000000111000011100011011000"
"24",24,"1011010110111111111110011001011101101001001000101010111111111000011101111010011111011111101001001000"
"25",25,"1011010110111111111111111111011111100011111010001111111011111111111101011111111101111111111111111111"
"26",26,"1011010111111101011111011011111110011010111000001011111110111110001011101011010111011111110010000111"
"27",27,"0011000110001101101101011110000000000000010010011011111110010000001110000001000000110001100001101100"
"28",28,"1111100110100101111111111111110110111100111100011111011101011100011111100101101101011111111011110011"
"29",29,"0101000110111100111111111111110101111001111110111101110111011110011111111110110101111111110001110001"
"30",30,"0010000110100110011010001001000000101100010000001001010110111011011110011000000101001001000000000001"
"31",31,"1011110110111111011011111111010000011001010101101111111111111011011111001101001111011111111101011100"
"32",32,"0000000000000100000000001100000000010000000000101000010010000000001000000000000000000000010000000000"
"33",33,"0011111110111101111111011111011101111100100110111111010111111110010110111111000111011111111001010101"
"34",34,"1111111111111111111111111011111111111111111111111111110111111111111111111111111111111111111111111111"
"35",35,"0000000100000000000000000000000000100000000100001000000000000000000000000000000000000000000010000000"
"36",36,"0001000100100000000111011101000000000100000001001110010100011010000000011001000000000001000000000000"
"37",37,"0011000110111111101010011111000100000100000010001011111110011110111101110011010001010011100101011001"
"38",38,"0000000000000000000100001100000000000000000000100000001000100010001000000000000000000000000000000000"
"39",39,"0000000100010001001001111100000000100001000000101100010000001000000100000000000001000000000010000000"
"40",40,"0000000100011000000001000000100000000100000100001010010100001000000100000001000000010001010101000000"
"41",41,"0011000110111110111111011111100100110101011110101011010111011011111100101001011111010001001001010111"
"42",42,"1111110111101110111101011111111110011100101000111011111111011110111011101101101111011111110011111111"
"43",43,"0011010110100111011111110100000010101111101100111111111110111011111111011101010101001001110000000000"
"44",44,"1011000100111101010111111111110001011010010001101111101110111010110100011010011101010111100011011001"
"45",45,"0011000101110010111001011101000000110101110000101000000101001001000010110001000001000011100010001000"
"46",46,"0001000100110000101001011101000000001100100010101100010100001011010101000000010101101111000110001000"
"47",47,"0111110111110011101111111111111000101100111011111111111111111110110111111111011111111111111011111111"
"48",48,"0000000100110000001110010000000000000000000000001100000000001010000000010001000000000000000011010000"
"49",49,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"
"50",50,"1011000110111111111111011001110100111110011010111101001111111011100011101101010011111111001011111101"
"51",51,"1000000000000100000000000100000000000000000000000000000100000010000000010000000000000001000000000000"
"52",52,"0000000000000100000000110100000000000001000000000100000100000010000100000000000001000000000001000000"
"53",53,"1111010110111101111111111101111110011111111111111011111111111111111111101111111101111111111111111111"
"54",54,"1011000110110111011111011011010001001100011111111101011110011010111001001011111111001111100001110111"
"55",55,"0000000100010011000000110000000000010000000000001000100110000010000000000000000000000000010011000000"
"56",56,"0000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000"
"57",57,"1111000100001100011011111010000100000100000110111110010100100110011101100001000101110001010000010001"
"58",58,"1010000100011111000101111100000100100001100100111010010100100001011101011001000001000001000000000001"
"59",59,"0001100100000110010001111010000000010101010000011100010100101010010100001001000101000001100001000000"
"60",60,"0010100000000001000010110000000000100100000000001000010000000000000100000000000100001001100100000000"
"61",61,"1011100110111110011011011101011000000100010010101010010111011010001111011010111111001001000010000000"
"62",62,"0011010100011101011010011100110100111000111110101111010110111111010001011001010111000010000001001000"
"63",63,"0010010100110100100010101010000000000000000010001100110100000001000001000001000100110000000000001000"
"64",64,"1011000100101110110101111101000100010010111000101100100110111000011110101000111101111001111110001101"
"65",65,"0000000000100000001000001000000000001000000000000000000100000000000001000000000000000000000000001000"
"66",66,"0011110110111011111111111011101011011101111011111111000111111111111111111001110011111111111011110111"
"67",67,"1001000000100000111011011100000000100100000100101100011101001100000010000000000000000000010100000101"
"68",68,"1010100100111010001001011000100000000000000000001011011110011010000000011000010010000110000111000000"
"69",69,"1111110111100111011011011101001110111100111110111111011111111111111111111110011111111101010011111001"
"70",70,"0001000110101010011111011100101010111100001010001010001110101010101101101011001001011111100000011111"
"71",71,"1011111110111111011111111001111110111011010110111110111111111011010111001101010111111110011111111111"
"72",72,"1000000100000100111011101101000000010100000010011000110000000010100000000001000101001000000000010001"
"73",73,"1011010110111011011111111111000100100000000010111100011111111010110100000011010101110001101001000001"
"74",74,"0000000100110010000011010000000000000100000000001000010000101010001000000000000000010000000011000000"
"75",75,"1011010110101110011111111101110111011111101011111111010111111011110001101110010111111111110111110111"
"76",76,"1111111110101111111111011111111111011100101101011011111111111011011111101110111101011111111110010111"
"77",77,"0000000000100000010011000100000000000100000100001000000100000000000000000001000000001001000000000000"
"78",78,"0001000110011001011011110100100000101001000100011010010110000001010001000000000001000001000000001001"
"79",79,"0000000000011001000000011000100000000100000000011100000100000100000001001001000000000000000000000000"
"80",80,"0011010110011110010111111111101010101001110010011101011111111011001001011011010001101001100000110011"
"81",81,"0000000100111000001000011000000000000101100010001000101110001010000000000001000000001010010000001000"
"82",82,"0011000100111001101010111010000010010000101000011110000100001010111101101011001000010001000000010000"
"83",83,"0010000010000011000011111001000000010100110000001000000100000000000101000001000001001101000000000000"
"84",84,"0000010100100001110101011000000000000100010010001100011110101010100001001001000000000000100010000100"
"85",85,"1111101110111111111111110111111011111110111101111111111111011111111111111111011111111111111111111111"
"86",86,"1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"
